Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 6.0.1,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 6.0.1  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 6.0.1,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 6.0.1  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 6.0.1,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 6.0.1  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.EntityFrameworkCore.InMemory 6.0.1,,,,,"Microsoft.EntityFrameworkCore.InMemory, 6.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.1,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.1,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.Extensions.Diagnostics.HealthChecks 6.0.1,,,,,"Microsoft.Extensions.Diagnostics.HealthChecks, 6.0.1  Recommendation:  Remove Microsoft.Extensions.Diagnostics.HealthChecks, and replace with new package Microsoft.Extensions.Diagnostics.HealthChecks 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 6.0.1,,,,,"Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, 6.0.1  Recommendation:  Remove Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, and replace with new package Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 10.0.3"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.14.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.14.0  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Middlewares\AuthenticatedTestRequestMiddleware.cs,25,16,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,"var claimsIdentity = new ClaimsIdentity(jwt.Claims, JwtBearerDefaults.AuthenticationScheme, JwtClaimTypes.Name, JwtClaimTypes.Role);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Skoruba.IdentityServer4.Admin.Api\Skoruba.IdentityServer4.Admin.Api.csproj,File,src\Skoruba.IdentityServer4.Admin.Api\Middlewares\AuthenticatedTestRequestMiddleware.cs,25,16,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,"var claimsIdentity = new ClaimsIdentity(jwt.Claims, JwtBearerDefaults.AuthenticationScheme, JwtClaimTypes.Name, JwtClaimTypes.Role);"
